id,name,website,industry,description,logo_url,location,region,country,size,founded,tags,product_types,rss_feed_url,linkedin_url,twitter_handle,is_active,created_at,updated_at
124,Avitalsa (Avícola Vitaloa),,Poultry,,,,South America,Ecuador,,,"[""poultry"",""chicken"",""table-eggs"",""turkey""]","[""Chicken"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.407Z,2025-12-26T18:43:14.407Z
125,Avril Group,,Poultry,,,,Europe,France,,,"[""poultry""]",,,,,false,2025-12-26T18:43:14.411Z,2025-12-26T18:43:14.411Z
126,AVSA,,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.415Z,2025-12-26T18:43:14.415Z
127,Baiada Poultry,,Poultry,,,,Oceania,Australia,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.418Z,2025-12-26T18:43:14.418Z
128,Balady Poultry Trading Co.,,Poultry,,,,Middle East,Saudi Arabia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.423Z,2025-12-26T18:43:14.423Z
129,Balticovo,,Poultry,,,,Europe,Latvia,,,"[""poultry"",""chicken"",""egg-products"",""table-eggs""]","[""Chicken"",""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.427Z,2025-12-26T18:43:14.427Z
130,Banvit,,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.431Z,2025-12-26T18:43:14.431Z
131,Beijing Deqingyuan Agricultural Technology Co. Ltd.,,Poultry,,,,Asia,China,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.435Z,2025-12-26T18:43:14.435Z
132,Bell Food Group,,Poultry,,,,Europe,Switzerland,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.438Z,2025-12-26T18:43:14.438Z
133,Berne Hi-Way Hatchery Inc.,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.442Z,2025-12-26T18:43:14.442Z
134,Betagro Group,,Poultry,,,,Asia,Thailand,,,"[""poultry"",""chicken"",""ducks"",""table-eggs""]","[""Chicken"",""Ducks"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.446Z,2025-12-26T18:43:14.446Z
135,Beypiliç,,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken"",""ducks"",""table-eggs""]","[""Chicken"",""Ducks"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.450Z,2025-12-26T18:43:14.450Z
136,Bezrk-Belgrankorm,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""ducks""]","[""Chicken"",""Ducks""]",,,,false,2025-12-26T18:43:14.454Z,2025-12-26T18:43:14.454Z
137,Boda Food,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.457Z,2025-12-26T18:43:14.457Z
138,Bohr Poultry,,Poultry,,,,Europe,Russia,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.461Z,2025-12-26T18:43:14.461Z
139,Bonnín Hnos.,,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.464Z,2025-12-26T18:43:14.464Z
140,Bounty Fresh Group,,Poultry,,,,Asia,Philippines,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.466Z,2025-12-26T18:43:14.466Z
141,Braswell Egg,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,true,2025-12-26T18:43:14.469Z,2025-12-26T18:43:14.469Z
142,BRF,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.472Z,2025-12-26T18:43:14.472Z
143,Bupiliç,,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.475Z,2025-12-26T18:43:14.475Z
144,Butterball,,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.479Z,2025-12-26T18:43:14.479Z
145,C Vale - Cooperativa Agroindustrial,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.482Z,2025-12-26T18:43:14.482Z
146,Cairo Poultry Co. (CPC),,Poultry,,,,Africa,Egypt,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.485Z,2025-12-26T18:43:14.485Z
147,Caisy Ltda.,,Poultry,,,,South America,Bolivia,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.488Z,2025-12-26T18:43:14.488Z
148,Camar Agroalimentaria,,Poultry,,,,Europe,Spain,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.497Z,2025-12-26T18:43:14.497Z
149,Cargill,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.499Z,2025-12-26T18:43:14.499Z
150,Cargill China,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.503Z,2025-12-26T18:43:14.503Z
151,Cargill Honduras,,Poultry,,,,Central America,Honduras,,,"[""poultry""]",,,,,false,2025-12-26T18:43:14.506Z,2025-12-26T18:43:14.506Z
152,Cargill Meats Asia,,Poultry,,,,Asia,Thailand,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.509Z,2025-12-26T18:43:14.509Z
153,Cargill Meats Europe,,Poultry,,,,Europe,United Kingdom,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.512Z,2025-12-26T18:43:14.512Z
154,Cargill Protein,,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.517Z,2025-12-26T18:43:14.517Z
155,Cargill Proteína Latinoamérica,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.520Z,2025-12-26T18:43:14.520Z
156,Cargill Proteína Latinoamérica -- Colombia,,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.523Z,2025-12-26T18:43:14.523Z
157,Cargill Proteína Latinoamérica -- Honduras,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.526Z,2025-12-26T18:43:14.526Z
158,Case Foods Inc.,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.530Z,2025-12-26T18:43:14.530Z
159,CDPO,,Poultry,,,,Europe,France,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.533Z,2025-12-26T18:43:14.533Z
160,Cedrob,,Poultry,,,,Europe,Poland,,,"[""poultry"",""chicken"",""ducks"",""geese""]","[""Chicken"",""Ducks"",""Geese""]",,,,false,2025-12-26T18:43:14.536Z,2025-12-26T18:43:14.536Z
161,Center Fresh Group,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,true,2025-12-26T18:43:14.540Z,2025-12-26T18:43:14.540Z
162,Central Valley Eggs,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.543Z,2025-12-26T18:43:14.543Z
163,Centrum Valley Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,true,2025-12-26T18:43:14.546Z,2025-12-26T18:43:14.546Z
164,Chelny Broiler,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.550Z,2025-12-26T18:43:14.550Z
165,Cherkizovo Group,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.553Z,2025-12-26T18:43:14.553Z
166,Chesterfield Poultry,,Poultry,,,,Europe,United Kingdom,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.557Z,2025-12-26T18:43:14.557Z
167,Chi Farms Ltd.,,Poultry,,,,Africa,Nigeria,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.560Z,2025-12-26T18:43:14.560Z
168,Chino Valley Ranchers/MCM Poultry,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.564Z,2025-12-26T18:43:14.564Z
169,Chubu Shiryo,,Poultry,,,,Asia,Japan,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.567Z,2025-12-26T18:43:14.567Z
170,CJ Cheil Jedang,,Poultry,,,,Asia,South Korea,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.570Z,2025-12-26T18:43:14.570Z
171,Claxton Poultry Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.573Z,2025-12-26T18:43:14.573Z
172,CMI - Corporación Multi Inversiones,,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.576Z,2025-12-26T18:43:14.576Z
173,CMI - Corporación Multi Inversiones (Costa Rica),,Poultry,,,,Central America,Costa Rica,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.580Z,2025-12-26T18:43:14.580Z
174,CMI - Corporación Multi Inversiones (El Salvador),,Poultry,,,,Central America,El Salvador,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.583Z,2025-12-26T18:43:14.583Z
175,CMI - Corporación Multi Inversiones (Guatemala),,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.587Z,2025-12-26T18:43:14.587Z
176,CMI - Corporación Multi Inversiones (Honduras),,Poultry,,,,Central America,Honduras,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.589Z,2025-12-26T18:43:14.589Z
177,CMI - Corporación Multi Inversiones (Toledano),,Poultry,,,,Central America,Panama,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.592Z,2025-12-26T18:43:14.592Z
178,Coave,,Poultry,,,,Caribbean,Dominican Republic,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.595Z,2025-12-26T18:43:14.595Z
179,Codigoro,,Poultry,,,,Europe,Italy,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.599Z,2025-12-26T18:43:14.599Z
180,Colorado Eggs,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.602Z,2025-12-26T18:43:14.602Z
181,Coopavel,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken"",""ducks""]","[""Chicken"",""Ducks""]",,,,false,2025-12-26T18:43:14.606Z,2025-12-26T18:43:14.606Z
182,Cooper Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products"",""table-eggs"",""turkey""]","[""Egg Products"",""Table Eggs"",""Turkey""]",,,,true,2025-12-26T18:43:14.609Z,2025-12-26T18:43:14.609Z
183,Copacol,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.615Z,2025-12-26T18:43:14.615Z
184,Coren,,Poultry,,,,Europe,Spain,,,"[""poultry"",""chicken"",""ducks"",""egg-products"",""table-eggs"",""turkey""]","[""Chicken"",""Ducks"",""Egg Products"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.623Z,2025-12-26T18:43:14.623Z
185,Corporación Avícola Dominicana,,Poultry,,,,Caribbean,Dominican Republic,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.626Z,2025-12-26T18:43:14.626Z
186,Corporación Pipasa (Cargill),,Poultry,,,,Central America,Costa Rica,,,"[""poultry"",""chicken"",""table-eggs"",""turkey""]","[""Chicken"",""Table Eggs"",""Turkey""]",,,,false,2025-12-26T18:43:14.631Z,2025-12-26T18:43:14.631Z
187,Country Bird Holdings Ltd.,,Poultry,,,,Africa,South Africa,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.634Z,2025-12-26T18:43:14.634Z
188,Country Charm Eggs,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.638Z,2025-12-26T18:43:14.638Z
189,CP China,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.642Z,2025-12-26T18:43:14.642Z
190,CP Group,,Poultry,,,,Asia,Thailand,,,"[""poultry"",""chicken"",""ducks"",""egg-products"",""table-eggs""]","[""Chicken"",""Ducks"",""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.645Z,2025-12-26T18:43:14.645Z
191,CP Standart Gida Sanayi Ve Ticaret (CP Turkey),,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.648Z,2025-12-26T18:43:14.648Z
192,Cranswick,,Poultry,,,,Europe,United Kingdom,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.652Z,2025-12-26T18:43:14.652Z
193,Creighton Brothers LLC,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.655Z,2025-12-26T18:43:14.655Z
194,DaChan Food (Asia) Ltd.,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.658Z,2025-12-26T18:43:14.658Z
195,DACSA,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.662Z,2025-12-26T18:43:14.662Z
196,Dafa Animal Husbandry,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.665Z,2025-12-26T18:43:14.665Z
197,Dakahlia Poultry Co.,,Poultry,,,,Africa,Egypt,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.669Z,2025-12-26T18:43:14.669Z
198,Dakota Layers LLP,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.673Z,2025-12-26T18:43:14.673Z
199,Dakota Provisions,,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.677Z,2025-12-26T18:43:14.677Z
200,DANÆG A/S,,Poultry,,,,Europe,Denmark,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.680Z,2025-12-26T18:43:14.680Z
201,Darko Farms,,Poultry,,,,Africa,Ghana,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.683Z,2025-12-26T18:43:14.683Z
202,DAVA Foods Holding A/S,,Poultry,,,,Europe,Denmark,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.686Z,2025-12-26T18:43:14.686Z
203,Daybreak Farms,,Poultry,,,,Africa,South Africa,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.690Z,2025-12-26T18:43:14.690Z
204,Daybreak Foods Inc.,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,true,2025-12-26T18:43:14.694Z,2025-12-26T18:43:14.694Z
205,Dekang Animal Husbandry Group Co.,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.698Z,2025-12-26T18:43:14.698Z
206,Delmon Poultry Co.,,Poultry,,,,Middle East,Bahrain,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.701Z,2025-12-26T18:43:14.701Z
207,Demler Brothers LLC,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.705Z,2025-12-26T18:43:14.705Z
208,Demler Enterprises,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.709Z,2025-12-26T18:43:14.709Z
209,Demler Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.713Z,2025-12-26T18:43:14.713Z
210,Deveci Broyler,,Poultry,,,,Middle East,Azerbaijan,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.716Z,2025-12-26T18:43:14.716Z
211,Dexin Group,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.720Z,2025-12-26T18:43:14.720Z
212,Diplomata,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.723Z,2025-12-26T18:43:14.723Z
213,Distraves S.A.,,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.726Z,2025-12-26T18:43:14.726Z
214,"Domvil, SA",,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.729Z,2025-12-26T18:43:14.729Z
215,Don Pollo (Chile),,Poultry,,,,South America,Chile,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.733Z,2025-12-26T18:43:14.733Z
216,Don Pollo (Colombia),,Poultry,,,,South America,Colombia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.736Z,2025-12-26T18:43:14.736Z
217,Dongwoo Co. Ltd.,,Poultry,,,,Asia,South Korea,,,"[""poultry"",""chicken"",""ducks""]","[""Chicken"",""Ducks""]",,,,false,2025-12-26T18:43:14.741Z,2025-12-26T18:43:14.741Z
218,Drobex,,Poultry,,,,Europe,Poland,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.745Z,2025-12-26T18:43:14.745Z
219,Druzhba Narodov,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.754Z,2025-12-26T18:43:14.754Z
220,Dutchland Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.758Z,2025-12-26T18:43:14.758Z
221,Dutt & Wagner,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.763Z,2025-12-26T18:43:14.763Z
222,Easy Holdings Co. Ltd.,,Poultry,,,,Asia,South Korea,,,"[""poultry"",""chicken"",""ducks""]","[""Chicken"",""Ducks""]",,,,false,2025-12-26T18:43:14.767Z,2025-12-26T18:43:14.767Z
223,Ecoptitsa,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.772Z,2025-12-26T18:43:14.772Z
224,El Calvario,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.775Z,2025-12-26T18:43:14.775Z
225,El Cortijo,,Poultry,,,,Central America,Honduras,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.779Z,2025-12-26T18:43:14.779Z
226,El Granjero,,Poultry,,,,Central America,El Salvador,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.782Z,2025-12-26T18:43:14.782Z
227,El Rocio,,Poultry,,,,South America,Peru,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.786Z,2025-12-26T18:43:14.786Z
228,El Vasquito Ltd,,Poultry,,,,South America,Uruguay,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.790Z,2025-12-26T18:43:14.790Z
229,Elinar,,Poultry,,,,Europe,Russia,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.794Z,2025-12-26T18:43:14.794Z
230,Emilio Silva e Hijos (Avícola Santa Elvira),,Poultry,,,,South America,Chile,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.800Z,2025-12-26T18:43:14.800Z
231,Empire Kosher Poultry Inc. (broiler),,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.805Z,2025-12-26T18:43:14.805Z
232,Empire Kosher Poultry Inc. (turkey),,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.809Z,2025-12-26T18:43:14.809Z
233,Empresas Guadalupe,,Poultry,,,,North America,Mexico,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.813Z,2025-12-26T18:43:14.813Z
234,Endy Agroindustrial,,Poultry,,,,Caribbean,Dominican Republic,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.817Z,2025-12-26T18:43:14.817Z
235,Erpiliç,,Poultry,,,,Middle East,Türkiye,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.822Z,2025-12-26T18:43:14.822Z
236,Esbenshade Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.825Z,2025-12-26T18:43:14.825Z
237,Eureden,,Poultry,,,,Europe,France,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.829Z,2025-12-26T18:43:14.829Z
238,Eurovo,,Poultry,,,,Europe,Italy,,,"[""poultry"",""egg-products"",""table-eggs""]","[""Egg Products"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.832Z,2025-12-26T18:43:14.832Z
239,Exceldor Cooperative Avicole,,Poultry,,,,North America,Canada,,,"[""poultry"",""chicken"",""turkey""]","[""Chicken"",""Turkey""]",,,,false,2025-12-26T18:43:14.836Z,2025-12-26T18:43:14.836Z
240,Fadel SA,,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.842Z,2025-12-26T18:43:14.842Z
241,Farbest Foods,,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.846Z,2025-12-26T18:43:14.846Z
242,Farmers Hen House,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.850Z,2025-12-26T18:43:14.850Z
243,Farmers Pride Inc.,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.853Z,2025-12-26T18:43:14.853Z
244,Fassio Egg Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.856Z,2025-12-26T18:43:14.856Z
245,Fengji Food Group Co.,,Poultry,,,,Asia,China,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,false,2025-12-26T18:43:14.860Z,2025-12-26T18:43:14.860Z
246,FEPASA (Frigorífico Entrerriano de Productores Avícolas SA),,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.864Z,2025-12-26T18:43:14.864Z
247,FFM Berhad,,Poultry,,,,Asia,Malaysia,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.867Z,2025-12-26T18:43:14.867Z
248,Fieldale Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.871Z,2025-12-26T18:43:14.871Z
249,Flamboia,,Poultry,,,,South America,Brazil,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.875Z,2025-12-26T18:43:14.875Z
250,Forsman Farms,,Poultry,,,,North America,United States,,,"[""poultry"",""table-eggs""]","[""Table Eggs""]",,,,true,2025-12-26T18:43:14.879Z,2025-12-26T18:43:14.879Z
251,Foster Farms (broiler),,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.883Z,2025-12-26T18:43:14.883Z
252,Foster Farms (turkey),,Poultry,,,,North America,United States,,,"[""poultry"",""turkey""]","[""Turkey""]",,,,true,2025-12-26T18:43:14.885Z,2025-12-26T18:43:14.885Z
253,FreeBird Chicken,,Poultry,,,,North America,United States,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,true,2025-12-26T18:43:14.889Z,2025-12-26T18:43:14.889Z
254,Fremont Farms of Iowa,,Poultry,,,,North America,United States,,,"[""poultry"",""egg-products""]","[""Egg Products""]",,,,true,2025-12-26T18:43:14.893Z,2025-12-26T18:43:14.893Z
255,Frigorífico Soychú SA,,Poultry,,,,South America,Argentina,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.897Z,2025-12-26T18:43:14.897Z
256,Frinavur S.A.,,Poultry,,,,South America,Uruguay,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.901Z,2025-12-26T18:43:14.901Z
257,FRISA (Areca),,Poultry,,,,Central America,Guatemala,,,"[""poultry"",""chicken"",""table-eggs""]","[""Chicken"",""Table Eggs""]",,,,false,2025-12-26T18:43:14.904Z,2025-12-26T18:43:14.904Z
258,Fufeng Group,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.908Z,2025-12-26T18:43:14.908Z
259,Fujian Sunner Development Co. Ltd.,,Poultry,,,,Asia,China,,,"[""poultry"",""chicken""]","[""Chicken""]",,,,false,2025-12-26T18:43:14.911Z,2025-12-26T18:43:14.911Z
